gender,category,image,brand,description,price,discount,url,rating,reviews
F,kurtas-kurtis-suits,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2110558/2018/4/13/11523617167748-Vishudh-Women-Black--Gold-Toned-Printed-Straight-Kurta-9041523617167566-1.jpg",Moda Rapido,Motifs Print Cotton Kurta,Rs. 1259,(Rs. 840 OFF),https://www.myntra.com/kurtas/moda-rapido/moda-rapido-women-blue--mustard-yellow-ethnic-motifs-print-gathered-cotton-a-line-kurta/15156094/buy,4,19.8k Verified Buyers
F,kurtas-kurtis-suits,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/15156094/2021/10/28/d31d486b-796e-4ced-8765-536f040fa5401635416184379-Moda-Rapido-Women-Blue--Mustard-Yellow-Ethnic-Motifs-Print-G-4.jpg",Ahalyaa,Kurti with Sharara & Dupatta,Rs. 2201,(Rs. 3303 OFF),https://www.myntra.com/kurta-sets/ahalyaa/ahalyaa-women-maroon--gold-printed-kurti-with-sharara--dupatta/12246214/buy,4.7,6 Verified Buyers
F,kurtas-kurtis-suits,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/12246214/2021/1/21/fb8fc504-76cd-4d6a-a16e-e20bdc7bebe41611204555225-Ahalyaa-Women-Maroon--Gold-Printed-Kurti-with-Sharara--Dupat-1.jpg",Varanga,Mustard Marigold Kurta,Rs. 681,(Rs. 1518 OFF),https://www.myntra.com/kurtas/varanga/varanga-mustard-marigold-cotton-straight-kurta/8529019/buy,4.2,2.6k Verified Buyers
F,kurtas-kurtis-suits,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/8529019/2019/1/23/5d6a8e02-0fa0-4770-82f5-6b52d9c983561548242338312-Varanga-mustard-printed-straight-kurta-6361548242336928-1.jpg",Anouk,Printed Kurta with Palazzos,Rs. 1079,(Rs. 720 OFF),https://www.myntra.com/kurta-sets/anouk/anouk-women-yellow--white-printed-kurta-with-palazzos/13791594/buy,3.8,11.6k Verified Buyers
F,kurtas-kurtis-suits,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/13791594/2021/3/22/befc45f5-b214-4ff4-8138-fb911f6bc2af1616412038099-Anouk-Women-Kurta-Sets-8481616412037272-1.jpg",Nayo,Women Kurta Sets,Rs. 1399,(Rs. 2100 OFF),https://www.myntra.com/kurta-sets/nayo/nayo-women-blue-floral-pure-cotton-kurta-with-trousers--with-dupatta/14226530/buy,4.3,2.2k Verified Buyers
F,kurtas-kurtis-suits,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/productimage/2021/4/30/1833f215-d527-4021-a05f-bc1575c04fe61619775584995-1.jpg",Yuris,Printed Kurta with Palazzos & Dupatta,Rs. 1375,(Rs. 2924 OFF),https://www.myntra.com/kurta-sets/yuris/yuris-women-green--peach-coloured-printed-kurta-with-palazzos--dupatta/13027872/buy,4.2,1.8k Verified Buyers
F,kurtas-kurtis-suits,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/13027872/2020/12/18/e9520c19-a0a9-49d4-a6d7-6f8c7843c87b1608288083337YurisBluePeachPrintedKurtaWithPalazzoDupatta1.jpg",Fabindia,Women Checked Straight Kurta,,0,https://www.myntra.com/kurtas/fabindia/fabindia-women-teal-green--golden-checked-straight-kurta/15669682/buy,4.3,2.4k Verified Buyers
F,kurtas-kurtis-suits,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/15669682/2021/10/25/3b6a86df-3013-4d0d-81ca-221f96cf3c121635140672107-Cotton-Nagari-Lattice-Knee-Length-Kurta-2121635140671416-1.jpg",Ahalyaa,Women Printed Kurta with Palazzos With Dupatta,Rs. 2400,(Rs. 3600 OFF),https://www.myntra.com/kurta-sets/ahalyaa/ahalyaa-women-beige-floral-printed-regular-gotta-patti-kurta-with-palazzos--with-dupatta/14951330/buy,,
F,kurtas-kurtis-suits,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/14951330/2021/9/17/39e94038-c7e5-4ee4-951f-0a24b7fd17071631857214617-Ahalyaa-Women-Kurta-Sets-3511631857213915-1.jpg",Libas,Women Printed Kurta with Palazzos & Dupatta,Rs. 1924,(Rs. 1575 OFF),https://www.myntra.com/kurta-sets/libas/libas-women-pink--silver-printed-kurta-with-palazzos--dupatta/7319901/buy,2.8,196 Verified Buyers
F,kurtas-kurtis-suits,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/7319901/2018/9/18/ede2810e-0a86-43aa-a7aa-27d3d95a9b5f1537268175318-Libas-Women-Pink--Grey-Printed-Kurta-with-Palazzos--Dupatta-4071537268175098-1.jpg",ZIYAA,Yoke Design Kurta with Trousers,Rs. 929,(Rs. 1582 OFF),https://www.myntra.com/kurta-sets/ziyaa/ziyaa-women-magenta--black-yoke-design-kurta-with-trousers/11674686/buy,4.2,10.6k Verified Buyers
