gender,category,image,brand,description,price,rating,reviews
F,dress-material,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2021/7/5/5a31ed91-626a-432e-8a15-9ce5b3b829a51625477481310-1.jpg",JATRIQQ,Embroidered Semi-Stitched Dress Material,Rs. 1424,3.6,10213
F,dress-material,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/13824466/2021/4/12/2883138d-4074-4be9-bc26-f7d634d66b221618212296523RajnandiniWomensPeachChanderiSilkEmbellishedUnstitchedSalwar1.jpg",Rajnandini,Printed Unstitched Dress Material,Rs. 1198,4.8,167
F,dress-material,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/13018014/2021/3/3/bd244245-7394-4ba4-b38c-cdef384816de1614772720929-Blissta-Womens-Black-Banarasi-Silk-Semi-Stitched-Dress-Mater-1.jpg",Blissta,Woven Design Unstitched Dress Material,Rs. 1498,3.7,5298
F,lehenga-choli,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/14202194/2021/6/25/33e27389-871d-4a5e-860f-898a5494aff11624603182918-EthnoVogue-Made-To-Measure-Blue-N-Beige-Embroidered-Lehenga--1.jpg",EthnoVogue,Made To Measure Lehenga Choli,Rs. 5138,4.7,1665
F,lehenga-choli,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2021/6/2/66c19814-c038-4d45-a446-95b808cf49cc1622646905973-1.jpg",Shakumbhari,Embroidered Lehenga Choli,Rs. 1459,3.2,10334
F,lehenga-choli,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/14822588/2021/7/21/bba9a0e7-09ee-47d8-84c2-18224f1730381626842740643-pspeaches-Girls-Orange-7861626842740113-1.jpg",pspeaches,Girls Lehenga Choli,Rs. 869,3.7,4917
F,lehenga-choli,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/15160168/2021/8/16/2b62fd5f-5723-4de7-9ab4-5cd300828ee01629131095594LehengaCholi1.jpg",PURVAJA,Ready to Wear Lehenga Choli,Rs. 1919,3.0,2614
F,lehenga-choli,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/11478474/2020/2/18/09cf6809-f438-4375-bed9-a329b1b95d281582020853566-Juniper-Mustard-Taffeta-Silk-Foil-Print-Lehenga-Choli-Set-14-1.jpg",Juniper,Women Printed Lehenga Choli,Rs. 1890,4.9,11440
F,lehenga-choli,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/13922438/2021/6/21/36627b7a-3e97-4a83-91a2-f9b3e5e8ddb61624253340375-DIVASTRI-Women-Lehenga-Choli-1661624253339471-1.jpg",DIVASTRI,Banarasi Lehenga Choli,Rs. 2399,4.2,64
F,lehenga-choli,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/13880326/2021/6/12/dab74976-1078-4904-bc7b-41f3ca46e0e51623472193640-Sangria-Women-Lehenga-Choli-2871623472193134-1.jpg",Sangria,Cotton Fusion Lehenga Choli,Rs. 1504,3.1,5810
