,Brand,Description,Reviews,Discount,Category,Rating,Links
104,Levi's,Men's Regular Fit Cotton Casual Shirt (White,26,"Save ₹1,173 (35%)",Jeans,4.685620404255162,https://m.media-amazon.com/images/I/71CgUTA-ZaL._AC_UL320_.jpg
105,Lee,Men's Solid Regular Fit Full Sleeve Cotton Casual Shirt (AW-SY-MCS-1127_White_Medium),62,"Save ₹1,480 (59%)",Jeans,3.1692146847614344,https://m.media-amazon.com/images/I/71CgUTA-ZaL._AC_UL320_.jpg
106,Red Tape,Men's Slim fit Casual Shirt,40,"Save ₹3,212 (80%)",Jeans,3.357371341870743,https://m.media-amazon.com/images/I/71CgUTA-ZaL._AC_UL320_.jpg
107,Jack & Jones,Men's Slim fit Casual Shirt,32,"Save ₹1,925 (55%)",Jeans,4.756667046284338,https://m.media-amazon.com/images/I/71CgUTA-ZaL._AC_UL320_.jpg
108,Lee Cooper,Men's Slim fit Casual Shirt,18,"Save ₹1,960 (70%)",Jeans,3.9814757109037986,https://m.media-amazon.com/images/I/71CgUTA-ZaL._AC_UL320_.jpg
109,Jack & Jones,Men's Regular fit Casual Shirt,32,0,Jeans,4.421683199758265,https://m.media-amazon.com/images/I/71CgUTA-ZaL._AC_UL320_.jpg
110,Van Heusen,Men's Shirt,508,Save ₹830 (42%),Jeans,3.545287908110522,https://m.media-amazon.com/images/I/71CgUTA-ZaL._AC_UL320_.jpg
111,Levi's,Men's Slim fit Casual Shirt,5,"Save ₹1,739 (47%)",Jeans,3.5038046273341843,https://m.media-amazon.com/images/I/71CgUTA-ZaL._AC_UL320_.jpg
112,Wrangler,Men's Printed Regular fit Casual Shirt,75,"Save ₹1,457 (58%)",Jeans,4.702814588745718,https://m.media-amazon.com/images/I/71CgUTA-ZaL._AC_UL320_.jpg
113,Pepe Jeans,Men's Checkered Regular fit Casual Shirt,90,90,Jeans,3.468281904538137,https://m.media-amazon.com/images/I/71CgUTA-ZaL._AC_UL320_.jpg
114,Hill Turner,Men's Slim fit Casual Shirt,7,"Save ₹1,900 (76%)",Jeans,3.5658806740153257,https://m.media-amazon.com/images/I/71CgUTA-ZaL._AC_UL320_.jpg
